"site_id","utm_zone","epsg","cell_e0","cell_n0","x_centroid","y_centroid","lon_centroid","lat_centroid"
"UTM29N_E1050000_N4630000","29N",32629,1050000,4630000,1055000,4635000,-2.33428831259213,41.6731126092787
"UTM29N_E1170000_N4340000","29N",32629,1170000,4340000,1175000,4345000,-1.21053988596464,38.9932660561437
"UTM29N_E870000_N4550000","29N",32629,870000,4550000,875000,4555000,-4.53769100061644,41.0598201911919
"UTM29N_E990000_N4300000","29N",32629,990000,4300000,995000,4305000,-3.30516709814186,38.7548476774673
"UTM29N_E1070000_N4380000","29N",32629,1070000,4380000,1075000,4385000,-2.32266473067412,39.4225522303922
"UTM29N_E840000_N4690000","29N",32629,840000,4690000,845000,4695000,-4.81281469506213,42.330774552839
"UTM29N_E980000_N4290000","29N",32629,980000,4290000,985000,4295000,-3.42669333911354,38.6706994177836
"UTM29N_E940000_N4420000","29N",32629,940000,4420000,945000,4425000,-3.79878560280925,39.8583496853173
"UTM29N_E1180000_N4530000","29N",32629,1180000,4530000,1185000,4535000,-0.898115427813271,40.6807310737124
"UTM29N_E1310000_N4670000","29N",32629,1310000,4670000,1315000,4675000,0.805965908541548,41.8062644864347
"UTM29N_E780000_N4340000","29N",32629,780000,4340000,785000,4345000,-5.69939888153471,39.2075380016609
"UTM29N_E950000_N4420000","29N",32629,950000,4420000,955000,4425000,-3.68237334511573,39.8530567517118
"UTM29N_E1040000_N4300000","29N",32629,1040000,4300000,1045000,4305000,-2.7329833178635,38.7254661937375
"UTM29N_E1130000_N4340000","29N",32629,1130000,4340000,1135000,4345000,-1.66850447381528,39.0231181677036
"UTM29N_E9e+05_N4350000","29N",32629,9e+05,4350000,905000,4355000,-4.30738855195345,39.2497624028817
"UTM29N_E1160000_N4500000","29N",32629,1160000,4500000,1165000,4505000,-1.16399647140685,40.42932007841
"UTM29N_E840000_N4420000","29N",32629,840000,4420000,845000,4425000,-4.96447145639613,39.9048689482681
"UTM29N_E830000_N4420000","29N",32629,830000,4420000,835000,4425000,-5.08118157719216,39.9088781030913
"UTM29N_E1080000_N4710000","29N",32629,1080000,4710000,1085000,4715000,-1.89701031848258,42.3667585435759
"UTM29N_E810000_N4300000","29N",32629,810000,4300000,815000,4305000,-5.37105233109342,38.837459184625
"UTM29N_E810000_N4290000","29N",32629,810000,4290000,815000,4295000,-5.37561563112894,38.7475233171501
"UTM29N_E990000_N4590000","29N",32629,990000,4590000,995000,4595000,-3.08380280349691,41.3542423801851
"UTM29N_E1e+06_N4590000","29N",32629,1e+06,4590000,1005000,4595000,-2.96491317543444,41.3480468451866
"UTM29N_E1160000_N4290000","29N",32629,1160000,4290000,1165000,4295000,-1.37296680142977,38.5543319967444
"UTM29N_E810000_N4520000","29N",32629,810000,4520000,815000,4525000,-5.26530804038369,40.8155758135452
"UTM29N_E980000_N4230000","29N",32629,980000,4230000,985000,4235000,-3.4679954677382,38.1325061787007
"UTM29N_E1060000_N4590000","29N",32629,1060000,4590000,1065000,4595000,-2.25238815452033,41.3083154030241
"UTM29N_E1190000_N4520000","29N",32629,1190000,4520000,1195000,4525000,-0.791988363264753,40.5832340341709
"UTM29N_E770000_N4360000","29N",32629,770000,4360000,775000,4365000,-5.80686602000465,39.3906983332448
"UTM29N_E960000_N4520000","29N",32629,960000,4520000,965000,4525000,-3.49344824687112,40.7444696279157
"UTM29N_E740000_N4370000","29N",32629,740000,4370000,745000,4375000,-6.15111353924765,39.4897299038038
"UTM29N_E1090000_N4220000","29N",32629,1090000,4220000,1095000,4225000,-2.22894768027449,37.9774097509077
"UTM29N_E1160000_N4190000","29N",32629,1160000,4190000,1165000,4195000,-1.46583589355183,37.6609551497838
"UTM29N_E710000_N4260000","29N",32629,710000,4260000,715000,4265000,-6.53426275097101,38.5074365726168
"UTM29N_E990000_N4250000","29N",32629,990000,4250000,995000,4255000,-3.340517547876,38.3064592365284
"UTM29N_E1e+06_N4250000","29N",32629,1e+06,4250000,1005000,4255000,-3.22671583464732,38.300895098585
"UTM29N_E1110000_N4100000","29N",32629,1110000,4100000,1115000,4105000,-2.10259524636368,36.8904248775592
"UTM29N_E1080000_N4590000","29N",32629,1080000,4590000,1085000,4595000,-2.01520654352964,41.2940998455759
"UTM29N_E790000_N4330000","29N",32629,790000,4330000,795000,4335000,-5.58813006509689,39.1142504026448
"UTM29N_E980000_N4240000","29N",32629,980000,4240000,985000,4245000,-3.46118805992441,38.2222110938901
"UTM29N_E1e+06_N4280000","29N",32629,1e+06,4280000,1005000,4285000,-3.20518112045473,38.5698820248951
"UTM29N_E1e+06_N4290000","29N",32629,1e+06,4290000,1005000,4295000,-3.19793880530871,38.659539300019
"UTM29N_E1110000_N4560000","29N",32629,1110000,4560000,1115000,4565000,-1.68974400895996,41.0038385751538
"UTM29N_E1160000_N4540000","29N",32629,1160000,4540000,1165000,4545000,-1.12192537486533,40.7862837961697
"UTM29N_E680000_N4370000","29N",32629,680000,4370000,685000,4375000,-6.84826379156473,39.5047312007349
"UTM29N_E790000_N4290000","29N",32629,790000,4290000,795000,4295000,-5.60534715112209,38.7544292938862
"UTM29N_E1110000_N4110000","29N",32629,1110000,4110000,1115000,4115000,-2.09448666110761,36.9799152009577
"UTM29N_E820000_N4400000","29N",32629,820000,4400000,825000,4405000,-5.20782620458772,39.7329650218352
"UTM29N_E1180000_N4520000","29N",32629,1180000,4520000,1185000,4525000,-0.908962409810035,40.5915429471577
"UTM29N_E910000_N4400000","29N",32629,910000,4400000,915000,4405000,-4.16082696443619,39.6939731186252
"UTM29N_E1050000_N4570000","29N",32629,1050000,4570000,1055000,4575000,-2.38917150336358,41.1362873094783
"UTM29N_E810000_N4620000","29N",32629,810000,4620000,815000,4625000,-5.21366517822864,41.7144146594537
