GLCM_V,GLCM_M,NDVI,MSAVI2,GLCM_H,NIR,RED,GLCM_C,GPP,LST,pa,HH,HV,pH,SC,BD,OCD,Dist_PL,Bio1,Bio2,Bio12,TRI,TWI,Dem,Dist_MR,Catt_Ext,Catt_Ext_M,Goat_Ext,Goat_Ext_M,Hors_Ext,Hors_Ext_M,Farm_Ext,Farm_Ext_M,Pig_Ext,Pig_Ext_M,Shee_Ext,Shee_Ext_M,CLC,PDSI,x,y,Species
0.934204161167,0.434122294188,0.218377924079,0.358446773663,2.06713710213e-4,4349,2790,5.65465597901e-4,103,35.53,1,-15.8909695975,-26.6884450335,78,421,139,269,3000,14.7833,12.9,357,5.1381,10.3987,582,671,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-170,1196197.6622000001,4306291.0373,P_orientalis
3.51086363487,0.767317819532,0.405429123378,0.566352523666,6.82038654438e-4,0,0,2.56349699973e-4,281,31.57,1,-18.4525511542,-31.4962431014,61,457,139,353,2529.82,15.2792,12.075,583,4.0988,11.28,489,3000,25.1621,26.6472,0.138895,0.147093,0,0,43.0458,45.5865,0.0934621,0.0989786,17.6514,18.6932,321,-160,763961.1167000001,4361411.1029,P_orientalis
3.35347547726,0.99609375,0.575024777007,0.730153910247,0.001953125,3973,1072,0.001953125,307,24.73,1,-20.1147445248,-30.2502054097,74,404,126,386,3000,12.3833,11.2667,559,2.9326,11.5069,680,600,0,0,0,0,0,0,0,0,0,0,0,0,211,-170,786450.8255000003,4640943.7831,P_orientalis
1.4424084425,0.975249230862,0.51794436186,0.682398330883,0.00145937036723,3574,1135,2.34268794884e-4,254,31.61,1,-19.5830359271,-27.9283388221,69,491,139,325,3000,15.7792,13.375,509,9.3595,10.2051,460,3000,4.59171,5.11862,0.0468977,0.0522793,0.28565,0.318429,19.8143,22.088,0.439666,0.490119,14.4504,16.1086,211,-220,867022.5266000004,4278327.694399999,P_orientalis
2.33330488205,0.969469726086,0.553846153846,0.712836343344,0.00103021517862,2929,841,-2.4313640097e-5,168,31.6969571507,1,-16.9360788516,-26.8222826528,65,476,138,349,3000,16.1375,11.525,592,3.6878,11.5048,346,3000,40.2257,41.5671,0.0739922,0.0764596,0,0,46.2652,47.808,2.30178,2.37854,3.66374,3.78592,211,-170,691547.9972000001,4375815.6951,P_orientalis
0.554957032204,0.403693050146,0.205367714774,0.34073077567,1.91163315321e-4,4581,3020,3.72871028958e-4,58,35.03,1,-13.6567206806,-23.2556154018,78,436,139,274,3000,14.7458,12.925,357,4.7749,10.2418,592,900,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-170,1195546.4052999998,4306436.974400001,P_orientalis
1.37444770336,0.404437214136,0.158298877732,0.273304613819,1.71332503669e-4,3922,2850,1.10163913632e-4,76,33.83,1,-16.3957843086,-24.7237229523,78,478,139,267,3000,14.6833,13.15,361,8.0125,10.5657,602,2121,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-170,1196779.9216,4303115.1669,P_orientalis
6.1560997963,0.450464874506,0.192537530972,0.32287721492,1.13611014967e-4,4091,2770,4.78851434309e-4,68,33.71,1,-12.8132608396,-22.5514325763,78,434,138,254,3000,14.8208,13.1417,358,3.5496,11.1534,588,2766,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-160,1197216.2439000001,4302543.828,P_orientalis
0.33447226882,0.34887072444,0.161032151235,0.277370996396,1.83755619219e-4,4207,3040,-9.6586984e-5,61,36.45,1,-16.5432145463,-25.8775111152,78,400,135,254,3000,15.0417,12.7833,364,4.5387,11.0928,520,300,0.215065,0.368528,0.342617,0.587097,0,0,2.25504,3.86415,0,0,1.69735,2.90853,211,-160,1199448.4864999996,4306845.9955,P_orientalis
0.152234584093,0.989102005959,0.571618625277,0.727398661139,0.00161402893718,3544,966,4.075453489e-6,385,28.75,1,-22.526721636,-30.9371125476,62,425,122,354,3000,15.925,11.3167,541,5.4772,11.0426,420,3000,20.3152,22.3434,0.0378104,0.0415852,0,0,30.6724,33.7346,1.86939,2.05602,8.44999,9.2936,321,-170,736423.6703000003,4375757.618100001,P_orientalis
0.163607090712,0.988145709038,0.515594751559,0.680355170024,0.00162690493744,3523,1126,-3.4453139961e-5,94,26.69,1,-13.2148966326,-24.9817386452,64,400,140,371,3000,15.9875,11.325,533,5.4772,10.789,416,3000,20.3152,22.3434,0.0378104,0.0415852,0,0,30.6724,33.7346,1.86939,2.05602,8.44999,9.2936,321,-170,736644.5615999997,4374837.817,P_orientalis
10.5268630981,0.665136218071,0.489595095983,0.657328866404,5.4889900639e-5,4617,1582,-1.5851808712e-5,119,36.35,1,-12.4113929127,-19.9664753831,79,208,143,237,3000,17.3917,13.35,295,1.5492,12.7987,190,1800,0,0,0.80991899999999994,1.50197,0,0,11.6832,21.6662,0,0,10.8733,20.1642,212,-180,1169769.1404,4204814.088400001,P_orientalis
11.8729848862,0.587319791317,0.301419045991,0.463183309967,1.03706704977e-4,3806,2043,3.56702279532e-4,49,36.29,1,-16.0651189079,-26.7283802286,79,209,143,230,3000,17.4042,13.3417,294,0.6325,13.4145,186,2100,0.353613,0.775655,0.177761,0.38992,0,0,3.63884,7.98185,0,0,3.10747,6.81628,212,-180,1170393.0960999997,4205000.7291,P_orientalis
2.26558184624,0.960667490959,0.453670276775,0.624133345876,0.00136308430228,3020,1135,1.9639222955e-5,236,24.77,1,-17.3204143152,-27.701540307,63,504,141,325,3000,16.5625,12.2917,540,8.3187,11.1623,244,3000,15.8432,16.6284,0.127571,0.133894,0,0,54.0943,56.7754,15.1992,15.9526,22.9244,24.0606,211,-160,688031.1103999997,4329690.621300001,P_orientalis
4.58789825439,0.937806725502,0.508424182359,0.674076922269,0.0012404024601,3044,992,3.20943450788e-4,261,24.77,1,-13.2092674104,-24.7343219648,65,493,141,320,3000,16.5625,12.325,541,1.4832,12.5667,240,3000,15.8432,16.6284,0.127571,0.133894,0,0,54.0943,56.7754,15.1992,15.9526,22.9244,24.0606,211,-160,688334.4016000004,4329258.7665,P_orientalis
6.04606866837,0.866212964058,0.299903567985,0.46136288151,5.11361402459e-4,2022,1089,5.4774765886e-5,214,25.31,1,-13.0724789198,-24.6814557661,65,500,140,328,3000,16.5625,12.325,541,3.4059,12.1633,233,3000,15.8432,16.6284,0.127571,0.133894,0,0,54.0943,56.7754,15.1992,15.9526,22.9244,24.0606,211,-160,688682.3673999999,4328657.644400001,P_orientalis
6.04606866837,0.866212964058,0.299903567985,0.46136288151,5.11361402459e-4,2022,1089,5.4774765886e-5,110,25.31,1,-12.7303208659,-23.5559432324,63,472,140,321,3000,16.5625,12.325,541,3.821,11.7757,235,3000,15.8432,16.6284,0.127571,0.133894,0,0,54.0943,56.7754,15.1992,15.9526,22.9244,24.0606,211,-160,688797.0323000001,4328493.837400001,P_orientalis
