Species,UTMCODE,Status,AREA_MN,ED,LPI,NP,Year,CA,RegSect
P_alchata,YL4080,Persistence,1194.642857142857,8.324514991181658,77.77777777777779,7,2005,79.738872,Ebro valley
P_alchata,UL0070,Colonization,4240.625,10.095465393794749,80.90692124105013,2,2005,80.917912,Northern plateau
P_alchata,XL7070,Extinction,2032.8125,5.869180907483795,70.00589275191514,4,2005,77.218928,Ebro valley
P_alchata,XL8070,Persistence,4178.125,8.85226603884638,78.34020011771631,2,2005,79.390464,Ebro valley
P_alchata,XL9070,Persistence,9700,3.176470588235294,91.29411764705883,1,2005,92.832424,Ebro valley
P_alchata,YL0070,Colonization,5006.25,3.602118893466745,94.11418481459683,2,2005,95.200928,Ebro valley
P_alchata,YL1070,Colonization,2862.5,8.659549228944247,81.37603795966785,3,2005,82.578912,Ebro valley
P_alchata,UL0060,Colonization,4615.625,7.048984468339307,88.11230585424134,2,2005,88.39052,Northern plateau
P_alchata,XL6060,Extinction,912.5,9.15032679738562,51.277480689245394,6,2005,53.071768,Ebro valley
P_alchata,XL8060,Persistence,3204.1666666666665,4.098939929328622,89.28150765606595,3,2005,91.861208,Ebro valley
P_alchata,XL9060,Persistence,10250,2.213066509711595,96.52736904061211,1,2005,97.659888,Ebro valley
P_alchata,YL0060,Extinction,10231.25,0.872641509433962,96.52122641509435,1,2005,97.64476,Ebro valley
P_alchata,YL1060,Colonization,2339.5833333333335,9.393761035903472,65.68569746909947,3,2005,66.105712,Ebro valley
P_alchata,UL1050,Extinction,505.6818181818182,12.492492492492492,42.7027027027027,11,2005,53.522004,Northern plateau
P_alchata,UL2050,Extinction,250,14.4,28.776119402985074,14,2005,33.8913,Northern plateau
P_alchata,UL3050,Extinction,620,14.567022538552788,44.246737841043895,10,2005,60.690132,Northern plateau
P_alchata,XL7050,Extinction,1001.7857142857143,12.382075471698114,65.74292452830188,7,2005,66.418304,Ebro valley
P_alchata,UL0040,Extinction,92.5,2.256532066508314,3.800475059382423,5,2005,4.11284175,Northern plateau
