Species,UTMCODE,Status,AREA_MN,ED,LPI,NP,Year,CA,RegSect
P_orientalis,WM5090,Extinction,106.25,10.58893515764426,7.4360499702558,20,2005,20.994984,Ebro valley
P_orientalis,XM0090,Extinction,38.04347826086956,6.599645180366647,4.198698994677706,23,2005,8.544245,Ebro valley
P_orientalis,XM2090,Extinction,89.58333333333333,1.903628792385485,2.082093991671624,3,2005,2.54524175,Ebro valley
P_orientalis,UM5080,Colonization,221.5909090909091,15.118483412322275,23.992890995260662,22,2005,45.879376,Northern plateau
P_orientalis,VM0080,Extinction,880.46875,12.36234458259325,65.0088809946714,8,2005,67.649424,Northern plateau
P_orientalis,WM7080,Extinction,100.27173913043478,9.421487603305785,15.702479338842975,23,2005,21.690044,Ebro valley
P_orientalis,XM2080,Extinction,535,9.290780141843971,46.51300236406619,10,2005,51.8824,Ebro valley
P_orientalis,XM1070,Persistence,187.109375,9.208972845336481,17.473435655253837,16,2005,28.275502,Ebro valley
P_orientalis,XM2070,Persistence,4446.875,7.646017699115045,83.06784660766962,2,2005,85.121112,Ebro valley
P_orientalis,WM8060,Extinction,68.22916666666667,4.200589970501475,4.188790560471976,12,2005,7.8057435,Ebro valley
P_orientalis,WM9060,Extinction,252.5735294117647,13.538098050797402,35.02658003544005,17,2005,41.659528,Ebro valley
P_orientalis,XM1060,Extinction,189.42307692307693,7.43801652892562,12.337662337662337,13,2005,22.25254,Ebro valley
P_orientalis,XM2060,Extinction,9418.75,7.896287566293459,88.80377136122569,1,2005,89.913176000000007,Ebro valley
P_orientalis,XM9060,Extinction,192.70833333333334,15.754716981132075,20.34198113207547,24,2005,44.135692,Ebro valley
P_orientalis,XM0050,Extinction,255.97826086956522,12.324068598462448,50.62093435836783,23,2005,56.712088,Ebro valley
P_orientalis,XM2050,Persistence,894.7916666666666,8.014142604596346,50.147318797878604,6,2005,51.423864,Ebro valley
P_orientalis,XM3050,Persistence,468.1818181818182,8.037713612256924,46.78845020624632,11,2005,48.55364,Ebro valley
P_orientalis,XM5050,Persistence,267.6470588235294,12.247787610619469,37.286135693215336,17,2005,43.948388,Ebro valley
P_orientalis,XM6050,Extinction,470.8333333333333,7.674144037780401,18.004722550177096,6,2005,25.464832,Ebro valley
P_orientalis,XM8050,Persistence,1496.875,8.684365781710914,56.16519174041298,4,2005,56.794352,Ebro valley
P_orientalis,TM8040,Extinction,1815.625,15.263157894736842,65.78947368421053,4,2005,69.388192,Northern plateau
P_orientalis,XM2040,Extinction,505,3.799410029498525,22.418879056047196,5,2005,23.611488,Ebro valley
P_orientalis,XM5040,Persistence,739.375,4.085005903187722,68.12278630460449,10,2005,70.819848,Ebro valley
P_orientalis,XM6040,Extinction,452.0833333333333,4.268867924528302,23.05424528301887,6,2005,25.360346,Ebro valley
P_orientalis,XM9040,Extinction,1126.7857142857142,8.925619834710744,73.84887839433294,7,2005,75.79932,Ebro valley
P_orientalis,YM2040,Persistence,197.72727272727272,3.957597173144876,19.199057714958776,11,2005,20.599836,Ebro valley
P_orientalis,YM3040,Colonization,123.5576923076923,4.708652148322543,9.064155385520895,13,2005,15.014822,Ebro valley
P_orientalis,YM4040,Persistence,700.8928571428571,11.574012056262559,52.1768251841929,7,2005,47.23838,Ebro valley
P_orientalis,BG5030,Extinction,66.07142857142857,5.153846153846154,5,14,2005,8.564998,Ebro valley
P_orientalis,TM6030,Extinction,15.625,1.362007168458781,0.4778972520908,10,2005,1.43464475,Northern plateau
P_orientalis,TM8030,Persistence,4162.5,10.944076969332531,79.97594708358389,2,2005,80.092456,Northern plateau
P_orientalis,TM9030,Persistence,2989.5833333333335,6.814106395696354,85.29587567244471,3,2005,86.077208,Northern plateau
P_orientalis,WM4030,Colonization,95.41666666666667,6.859846244825547,4.967474866942637,15,2005,13.363745,Iberian system
P_orientalis,WM5030,Extinction,188.671875,13.931523022432113,13.34120425029516,16,2005,29.17656,Iberian system
P_orientalis,XM2030,Extinction,236.71875,11.163895486935868,20.249406175771973,16,2005,35.922696,Ebro valley
P_orientalis,XM3030,Persistence,851.0416666666666,9.361702127659575,47.57683215130024,6,2005,49.678172000000004,Ebro valley
P_orientalis,XM7030,Persistence,2804.1666666666665,5.798467884502062,78.90394814378314,3,2005,80.083456,Ebro valley
P_orientalis,XM8030,Persistence,3500,3.745583038869258,38.28032979976443,2,2005,65.895124,Ebro valley
P_orientalis,XM9030,Extinction,3125,4.431349440188568,87.74307601649971,3,2005,89.778928,Ebro valley
P_orientalis,YM4030,Extinction,262.0192307692308,13.505487411233053,30.14848289218851,13,2005,33.500348,Ebro valley
P_orientalis,BG7020,Colonization,45.3125,2.870478413068845,3.38389731621937,12,2005,4.920319,Ebro valley
P_orientalis,BG5020,Persistence,99.55357142857143,9.753694581280788,10.160098522167488,28,2005,25.718704,Ebro valley
P_orientalis,TM7020,Colonization,778.4722222222222,14.260249554367201,65.06238859180036,9,2005,66.853756,Northern plateau
P_orientalis,WM5020,Extinction,326.6666666666667,14.914454277286136,38.82005899705015,15,2005,47.005464,Iberian system
P_orientalis,WM6020,Extinction,70.53571428571429,8.873156342182892,4.837758112094395,21,2005,13.612578,Iberian system
P_orientalis,WM7020,Extinction,660,9.274336283185841,29.262536873156343,5,2005,31.734806,Iberian system
P_orientalis,XM3020,Persistence,4753.125,5.484633569739953,89.77541371158392,2,2005,91.18548,Ebro valley
P_orientalis,XM4020,Persistence,7975,2.375296912114014,75.77197149643705,1,2005,76.896256,Ebro valley
P_orientalis,YM2020,Persistence,750,6.910377358490566,41.68632075471698,6,2005,42.711692,Ebro valley
